제목,작업년도,클라이언트,형식,유튜브주소,썸네일 위치,
부경대링크강연-부산1,2023,,강의,https://youtu.be/4mTuxWNQxyM,,ㅇ
부경대링크강연-부산2,2023,,강의,https://youtu.be/-HwIDRYgvnQ,,ㅇ
부경대링크강연-부산여1,2023,,강의,https://youtu.be/MOOfBvc894c,,ㅇ
부경대링크강연-부산여2,2023,,강의,https://youtu.be/Ql5XtB4brKU,,ㅇ
부경대링크강연-해양1,2023,,강의,https://youtu.be/8ssPX0G8TeQ,,ㅇ
부경대링크강연-해양2,2023,,강의,https://youtu.be/QntF7AwJ5HE,,ㅇ
부산광역시&네셔널지오그래픽-영문,2023,,"공기관, 광고",https://youtu.be/pwMXHg2ykT8,,ㅇ
부산광역시&네셔널지오그래픽-국문,2023,,"공기관, 광고",https://youtu.be/Ehd7rtzMFhQ,,ㅇ
살기좋은부산,2023,,"공기관, 콘텐츠",https://youtu.be/wesrMxdePqI,,ㅇ
새마을운동-국문,2023,,공기관,https://youtu.be/RIkrbqzLZ-0,,ㅇ
새마을운동-영문,2023,,공기관,https://youtu.be/0bKX0KpVtjs,,ㅇ
세계시민의날축제,2023,,공기관,https://youtu.be/vtkW7KS3dnY,,ㅇ
시청시정영상(납품하지 않았음),2023,,공기관,https://youtu.be/EedVaS_3L-8,,
아시아드나이트클럽,2023,,광고,https://youtu.be/XZAj1H4lQW0,,ㅇ
알리익스프레스,2023,,"광고, 스케치",https://youtu.be/3Wb1CJdfiEs,,ㅇ
엑스포이무진송합창단,2023,,공기관,https://youtu.be/qfx3HdeCmjA,,ㅇ
일흥-국문,2023,,광고 (홍보영상),https://youtu.be/mvD4NVAI6Ko,,ㅇ
일흥-영문,2023,,광고 (홍보영상),https://youtu.be/nZQxzwZHNNw,,ㅇ
쿨비즈,2023,,"공기관, 광고",https://youtu.be/nvZ4oCV9ExA,,ㅇ
피란수도부산-티저,2023,,공기관,https://youtu.be/KS7Ra-lGVU4,,ㅇ
피란수도부산-경무대,2023,,공기관,https://youtu.be/Nt61uGQviHs,,ㅇ
피란수도부산-아미동,2023,,공기관,https://youtu.be/HtVr_othIsg,,ㅇ
피란수도부산-우암동,2023,,공기관,https://youtu.be/fFEz02Os9g0,,ㅇ
,,,,,,
23년도아시아영화학교-1,2024,,공기관,미완료,,
23년도아시아영화학교-2,2024,,공기관,미완료,,
23년도아시아영화학교-3,2024,,공기관,미완료,,
공감강의(39개),2024,,강의,업로드만 진행,,ㅇ
부산FPV,2024,,공기관,https://youtu.be/jPJO6t1CIi4,,ㅇ
화승-브랜드국문,2024,,"광고, 홍보영상",https://youtu.be/KE4dTAQ7qrc,,ㅇ
화승-브랜드영문,2024,,"광고, 홍보영상",https://youtu.be/WbtSJmAAFdo,,ㅇ
화승-70주년헤리티지,2024,,"광고, 홍보영상",https://youtu.be/XKWh-q1iIxk,,ㅇ
화승코퍼-국문,2024,,"광고, 홍보영상",https://youtu.be/ZpQ3KMVr-b4,,ㅇ
화승코퍼-영문,2024,,"광고, 홍보영상",https://youtu.be/D313GihTBqI,,ㅇ
화승인더-국문,2024,,"광고, 홍보영상",https://youtu.be/z_9yi-zjNug,,ㅇ
화승인더-영문,2024,,"광고, 홍보영상",https://youtu.be/CnfKfk5wkf4,,ㅇ
화승번역작업,2024,,"광고, 홍보영상",기타 언어 번역 대기 중,,
부산광역시15분도시콘텐츠제작,2024,,"광고, 공기관",https://youtu.be/CsVPZHUebD0,,ㅇ
"DPWORLD,PNC",2024,,컨텐츠 촬영,촬영 완료,,
한국해양수산개발원40주년,2024,,스케치,편집 진행 중 (5.2),,
